fecha,producto,udsstock,udsventa,udsprevisionempresa,promo,festivo,weekday
2019-06-06,23,,1324.0,26454.0,1.0,0.0,3
2019-06-06,24,,2121.0,44334.0,0.0,0.0,3
2019-06-06,26,,1785.0,20078.0,1.0,0.0,3
2019-06-06,28,,1785.0,36271.0,0.0,0.0,3
2019-06-06,29,,1562.0,26456.0,0.0,0.0,3
2019-06-06,3,,7557.0,50538.0,1.0,0.0,3
2019-06-06,30,,944.0,17426.0,0.0,0.0,3
2019-06-06,31,,944.0,20890.0,0.0,0.0,3
2019-06-06,32,,806.0,19542.0,0.0,0.0,3
2019-06-06,35,,1121.0,24550.0,0.0,0.0,3
2019-06-06,36,,1154.0,22568.0,1.0,0.0,3
2019-06-06,37,,263.0,6941.0,0.0,0.0,3
2019-06-06,38,,970.0,19819.0,1.0,0.0,3
2019-06-06,4,,5904.0,75098.0,0.0,0.0,3
2019-06-06,40,,634.0,14582.0,1.0,0.0,3
2019-06-06,42,,752.0,15421.0,0.0,0.0,3
2019-06-06,43,,1046.0,20044.0,0.0,0.0,3
2019-06-06,45,,822.0,15006.0,0.0,0.0,3
2019-06-06,46,,1161.0,22559.0,0.0,0.0,3
2019-06-06,48,,730.0,15296.0,0.0,0.0,3
2019-06-06,49,,1259.0,23258.0,0.0,0.0,3
2019-06-06,5,,4044.0,52049.0,0.0,0.0,3
2019-06-06,50,,790.0,17086.0,1.0,0.0,3
2019-06-06,52,,678.0,14560.0,0.0,0.0,3
2019-06-06,53,,708.0,14901.0,0.0,0.0,3
2019-06-06,55,,984.0,19353.0,0.0,0.0,3
2019-06-06,57,,472.0,9836.0,0.0,0.0,3
2019-06-06,58,,19.0,313.0,0.0,0.0,3
2019-06-06,59,,792.0,9854.0,1.0,0.0,3
2019-06-06,60,,247.0,7714.0,0.0,0.0,3
2019-06-06,61,,605.0,11535.0,0.0,0.0,3
2019-06-06,62,,405.0,8285.0,0.0,0.0,3
2019-06-06,63,,420.0,9918.0,0.0,0.0,3
2019-06-06,64,,782.0,15672.0,0.0,0.0,3
2019-06-06,66,,408.0,8555.0,0.0,0.0,3
2019-06-06,67,,606.0,11050.0,0.0,0.0,3
2019-06-06,68,,428.0,9499.0,0.0,0.0,3
2019-06-06,69,,988.0,15740.0,1.0,0.0,3
2019-06-06,72,,639.0,11591.0,0.0,0.0,3
2019-06-06,73,,701.0,7758.0,1.0,0.0,3
2019-06-06,74,,325.0,8148.0,0.0,0.0,3
2019-06-06,77,,392.0,6840.0,0.0,0.0,3
2019-06-06,78,,335.0,8832.0,0.0,0.0,3
2019-06-06,79,,517.0,10513.0,0.0,0.0,3
2019-06-06,80,,2952.0,5313.0,0.0,0.0,3
2019-06-06,84,,378.0,4897.0,1.0,0.0,3
2019-06-06,85,,402.0,8915.0,0.0,0.0,3
2019-06-06,87,,402.0,7067.0,0.0,0.0,3
2019-06-06,88,,506.0,7211.0,0.0,0.0,3
2019-06-06,89,,312.0,5816.0,0.0,0.0,3
2019-06-06,9,,3542.0,33377.0,0.0,0.0,3
2019-06-06,91,,532.0,5498.0,1.0,0.0,3
2019-06-06,94,,255.0,4594.0,0.0,0.0,3
2019-06-06,95,,300.0,6533.0,0.0,0.0,3
2019-06-06,96,,275.0,4526.0,1.0,0.0,3
2019-06-06,97,,239.0,5317.0,0.0,0.0,3
2019-06-06,98,,325.0,4076.0,0.0,0.0,3
2019-06-06,99,,1918.0,553.0,0.0,0.0,3
2019-06-07,1,,4250.0,25127.0,0.0,0.0,4
2019-06-07,10,,3217.0,43438.0,1.0,0.0,4
2019-06-07,11,,3857.0,33944.0,0.0,0.0,4
2019-06-07,12,,905.0,46956.0,0.0,0.0,4
2019-06-07,13,,2450.0,33471.0,1.0,0.0,4
2019-06-07,14,,4746.0,40815.0,0.0,0.0,4
2019-06-07,15,,1416.0,10202.0,0.0,0.0,4
2019-06-07,17,,2586.0,36883.0,0.0,0.0,4
2019-06-07,18,,4348.0,40059.0,0.0,0.0,4
2019-06-07,19,,4190.0,40795.0,0.0,0.0,4
2019-06-07,2,,3542.0,36998.0,0.0,0.0,4
2019-06-07,20,,2307.0,32406.0,1.0,0.0,4
2019-06-07,21,,1525.0,24708.0,0.0,0.0,4
2019-06-07,22,,1402.0,11758.0,0.0,0.0,4
2019-06-07,23,,2236.0,30709.0,1.0,0.0,4
2019-06-07,24,,2553.0,31553.0,0.0,0.0,4
2019-06-07,26,,1368.0,11205.0,1.0,0.0,4
2019-06-07,28,,1704.0,25068.0,0.0,0.0,4
2019-06-07,29,,3330.0,29147.0,0.0,0.0,4
2019-06-07,3,,28339.0,39108.0,1.0,0.0,4
2019-06-07,30,,836.0,13665.0,0.0,0.0,4
2019-06-07,31,,452.0,26548.0,0.0,0.0,4
2019-06-07,32,,856.0,16054.0,0.0,0.0,4
2019-06-07,35,,905.0,19841.0,0.0,0.0,4
2019-06-07,36,,1137.0,11874.0,1.0,0.0,4
2019-06-07,37,,309.0,5006.0,0.0,0.0,4
2019-06-07,38,,1102.0,9357.0,1.0,0.0,4
2019-06-07,4,,5313.0,54789.0,0.0,0.0,4
2019-06-07,40,,605.0,11173.0,1.0,0.0,4
2019-06-07,42,,383.0,13811.0,0.0,0.0,4
2019-06-07,43,,2201.0,19956.0,0.0,0.0,4
2019-06-07,45,,1836.0,18880.0,0.0,0.0,4
2019-06-07,46,,1249.0,21888.0,0.0,0.0,4
2019-06-07,48,,575.0,12505.0,0.0,0.0,4
2019-06-07,49,,1359.0,18842.0,0.0,0.0,4
2019-06-07,5,,4036.0,68870.0,0.0,0.0,4
2019-06-07,50,,1420.0,10446.0,1.0,0.0,4
2019-06-07,52,,1173.0,13707.0,0.0,0.0,4
2019-06-07,53,,760.0,13954.0,0.0,0.0,4
2019-06-07,55,,1220.0,23366.0,0.0,0.0,4
2019-06-07,57,,1093.0,16064.0,0.0,0.0,4
2019-06-07,58,,14.0,329.0,0.0,0.0,4
